well,max.running.average,max.slopes,stressor,relative concentration,actual concentration (mg/ml),bacteria,Species
A1,0.181,0.029485714,Ampicillin,/10,2.00E-07,LUF4_5,L. rhizovicinus
A2,0.2245,0.038914286,Ampicillin,/10,2.00E-07,LUF4_5,L. rhizovicinus
A3,0.238,0.039828571,Ampicillin,/10,2.00E-07,LUF4_5,L. rhizovicinus
A4,0.2035,0.0356,Ampicillin,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A5,0.235,0.041257143,Ampicillin,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A6,0.214,0.040514286,Ampicillin,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A7,0.2245,0.038914286,Ampicillin,*10,2.00E-05,LUF4_5,L. rhizovicinus
A8,0.1905,0.034971429,Ampicillin,*10,2.00E-05,LUF4_5,L. rhizovicinus
A9,0.19,0.034457143,Ampicillin,*10,2.00E-05,LUF4_5,L. rhizovicinus
A10,0.2055,0.037542857,Ampicillin,*100,2.00E-04,LUF4_5,L. rhizovicinus
A11,0.2015,0.036057143,Ampicillin,*100,2.00E-04,LUF4_5,L. rhizovicinus
A12,0.179,0.029428571,Ampicillin,*100,2.00E-04,LUF4_5,L. rhizovicinus
B1,0.242,0.033257143,Ampicillin,/10,2.00E-07,KUB5_13,V. paradoxus
B2,0.3095,0.028228571,Ampicillin,/10,2.00E-07,KUB5_13,V. paradoxus
B3,0.318,0.027142857,Ampicillin,/10,2.00E-07,KUB5_13,V. paradoxus
B4,0.322,0.028285714,Ampicillin,TGT,2.00E-06,KUB5_13,V. paradoxus
B5,0.316,0.028114286,Ampicillin,TGT,2.00E-06,KUB5_13,V. paradoxus
B6,0.321,0.027942857,Ampicillin,TGT,2.00E-06,KUB5_13,V. paradoxus
B7,0.328,0.027771429,Ampicillin,*10,2.00E-05,KUB5_13,V. paradoxus
B8,0.3245,0.028342857,Ampicillin,*10,2.00E-05,KUB5_13,V. paradoxus
B9,0.32,0.028228571,Ampicillin,*10,2.00E-05,KUB5_13,V. paradoxus
B10,0.357,0.030057143,Ampicillin,*100,2.00E-04,KUB5_13,V. paradoxus
B11,0.315,0.030342857,Ampicillin,*100,2.00E-04,KUB5_13,V. paradoxus
B12,0.2365,0.032285714,Ampicillin,*100,2.00E-04,KUB5_13,V. paradoxus
C1,0.2425,0.034228571,Ampicillin,/10,2.00E-07,NUE1_1,B. muralis
C2,0.5155,0.132628571,Ampicillin,/10,2.00E-07,NUE1_1,B. muralis
C3,0.5545,0.085771429,Ampicillin,/10,2.00E-07,NUE1_1,B. muralis
C4,0.501,0.093714286,Ampicillin,TGT,2.00E-06,NUE1_1,B. muralis
C5,0.5265,0.111028571,Ampicillin,TGT,2.00E-06,NUE1_1,B. muralis
C6,0.5695,0.110685714,Ampicillin,TGT,2.00E-06,NUE1_1,B. muralis
C7,0.4965,0.090742857,Ampicillin,*10,2.00E-05,NUE1_1,B. muralis
C8,0.509,0.088857143,Ampicillin,*10,2.00E-05,NUE1_1,B. muralis
C9,0.512,0.084228571,Ampicillin,*10,2.00E-05,NUE1_1,B. muralis
C10,0.1695,0.024628571,Ampicillin,*100,2.00E-04,NUE1_1,B. muralis
C11,0.201,0.028685714,Ampicillin,*100,2.00E-04,NUE1_1,B. muralis
C12,0.158,0.019085714,Ampicillin,*100,2.00E-04,NUE1_1,B. muralis
D1,0.2365,0.025885714,Ampicillin,/10,2.00E-07,NUF1_3,V. paradoxus
D2,0.329,0.0304,Ampicillin,/10,2.00E-07,NUF1_3,V. paradoxus
D3,0.348,0.033028571,Ampicillin,/10,2.00E-07,NUF1_3,V. paradoxus
D4,0.351,0.033485714,Ampicillin,TGT,2.00E-06,NUF1_3,V. paradoxus
D5,0.3385,0.031771429,Ampicillin,TGT,2.00E-06,NUF1_3,V. paradoxus
D6,0.358,0.034171429,Ampicillin,TGT,2.00E-06,NUF1_3,V. paradoxus
D7,0.351,0.0328,Ampicillin,*10,2.00E-05,NUF1_3,V. paradoxus
D8,0.348,0.032342857,Ampicillin,*10,2.00E-05,NUF1_3,V. paradoxus
D9,0.364,0.0348,Ampicillin,*10,2.00E-05,NUF1_3,V. paradoxus
D10,0.3275,0.031485714,Ampicillin,*100,2.00E-04,NUF1_3,V. paradoxus
D11,0.322,0.0304,Ampicillin,*100,2.00E-04,NUF1_3,V. paradoxus
D12,0.2505,0.025542857,Ampicillin,*100,2.00E-04,NUF1_3,V. paradoxus
E1,0.263,0.060685714,Ampicillin,/10,2.00E-07,KUE4_4,B. muralis
E2,0.5325,0.183485714,Ampicillin,/10,2.00E-07,KUE4_4,B. muralis
E3,0.525,0.173657143,Ampicillin,/10,2.00E-07,KUE4_4,B. muralis
E4,0.4475,0.125257143,Ampicillin,TGT,2.00E-06,KUE4_4,B. muralis
E5,0.5125,0.201485714,Ampicillin,TGT,2.00E-06,KUE4_4,B. muralis
E6,0.5185,0.144285714,Ampicillin,TGT,2.00E-06,KUE4_4,B. muralis
E7,0.619,0.157085714,Ampicillin,*10,2.00E-05,KUE4_4,B. muralis
E8,0.4825,0.0868,Ampicillin,*10,2.00E-05,KUE4_4,B. muralis
E9,0.7995,0.234228571,Ampicillin,*10,2.00E-05,KUE4_4,B. muralis
E10,0.1055,0.018742857,Ampicillin,*100,2.00E-04,KUE4_4,B. muralis
E11,0.37,0.136971429,Ampicillin,*100,2.00E-04,KUE4_4,B. muralis
E12,0.1605,0.048628571,Ampicillin,*100,2.00E-04,KUE4_4,B. muralis
F1,0.2475,0.040171429,Ampicillin,/10,2.00E-07,KUE4_10,S. acidaminiphila
F2,0.317,0.048057143,Ampicillin,/10,2.00E-07,KUE4_10,S. acidaminiphila
F3,0.344,0.050285714,Ampicillin,/10,2.00E-07,KUE4_10,S. acidaminiphila
F4,0.346,0.049714286,Ampicillin,TGT,2.00E-06,KUE4_10,S. acidaminiphila
F5,0.339,0.048,Ampicillin,TGT,2.00E-06,KUE4_10,S. acidaminiphila
F6,0.3385,0.050057143,Ampicillin,TGT,2.00E-06,KUE4_10,S. acidaminiphila
F7,0.358,0.051828571,Ampicillin,*10,2.00E-05,KUE4_10,S. acidaminiphila
F8,0.3475,0.0476,Ampicillin,*10,2.00E-05,KUE4_10,S. acidaminiphila
F9,0.3395,0.047085714,Ampicillin,*10,2.00E-05,KUE4_10,S. acidaminiphila
F10,0.354,0.0484,Ampicillin,*100,2.00E-04,KUE4_10,S. acidaminiphila
F11,0.3375,0.046571429,Ampicillin,*100,2.00E-04,KUE4_10,S. acidaminiphila
F12,0.2825,0.042685714,Ampicillin,*100,2.00E-04,KUE4_10,S. acidaminiphila
G1,0.17,0.039257143,Ampicillin,/10,2.00E-07,OP50,E. coli
G2,0.208,0.035542857,Ampicillin,/10,2.00E-07,OP50,E. coli
G3,0.2215,0.036285714,Ampicillin,/10,2.00E-07,OP50,E. coli
G4,0.2255,0.036628571,Ampicillin,TGT,2.00E-06,OP50,E. coli
G5,0.2175,0.034857143,Ampicillin,TGT,2.00E-06,OP50,E. coli
G6,0.2105,0.033771429,Ampicillin,TGT,2.00E-06,OP50,E. coli
G7,0.163,0.026114286,Ampicillin,*10,2.00E-05,OP50,E. coli
G8,0.174,0.028,Ampicillin,*10,2.00E-05,OP50,E. coli
G9,0.175,0.028285714,Ampicillin,*10,2.00E-05,OP50,E. coli
G10,0.1435,0.017428571,Ampicillin,*100,2.00E-04,OP50,E. coli
G11,0.144,0.016571429,Ampicillin,*100,2.00E-04,OP50,E. coli
G12,0.1055,0.014914286,Ampicillin,*100,2.00E-04,OP50,E. coli
H1,0.1195,0.025142857,Ampicillin,/10,2.00E-07,SC,SC
H2,0.182,0.043142857,Ampicillin,/10,2.00E-07,SC,SC
H3,0.1905,0.051085714,Ampicillin,/10,2.00E-07,SC,SC
H4,0.172,0.040228571,Ampicillin,TGT,2.00E-06,SC,SC
H5,0.1655,0.041085714,Ampicillin,TGT,2.00E-06,SC,SC
H6,0.157,0.037028571,Ampicillin,TGT,2.00E-06,SC,SC
H7,0.154,0.033942857,Ampicillin,*10,2.00E-05,SC,SC
H8,0.159,0.035542857,Ampicillin,*10,2.00E-05,SC,SC
H9,0.158,0.031142857,Ampicillin,*10,2.00E-05,SC,SC
H10,0.1885,0.033257143,Ampicillin,*100,2.00E-04,SC,SC
H11,0.1845,0.033885714,Ampicillin,*100,2.00E-04,SC,SC
H12,0.2,0.033485714,Ampicillin,*100,2.00E-04,SC,SC
A7,0.213,0.046914286,Atrazine,*10,4.00E-05,LUF4_5,L. rhizovicinus
A8,0.2025,0.044342857,Atrazine,*10,4.00E-05,LUF4_5,L. rhizovicinus
A9,0.1965,0.038914286,Atrazine,*10,4.00E-05,LUF4_5,L. rhizovicinus
B7,0.3105,0.030342857,Atrazine,*10,4.00E-05,KUB5_13,V. paradoxus
B8,0.311,0.033885714,Atrazine,*10,4.00E-05,KUB5_13,V. paradoxus
B9,0.3205,0.027257143,Atrazine,*10,4.00E-05,KUB5_13,V. paradoxus
C7,0.5225,0.133714286,Atrazine,*10,4.00E-05,NUE1_1,B. muralis
C8,0.537,0.091657143,Atrazine,*10,4.00E-05,NUE1_1,B. muralis
C9,0.4975,0.097314286,Atrazine,*10,4.00E-05,NUE1_1,B. muralis
D7,0.315,0.030971429,Atrazine,*10,4.00E-05,NUF1_3,V. paradoxus
D8,0.32,0.030857143,Atrazine,*10,4.00E-05,NUF1_3,V. paradoxus
D9,0.3175,0.030171429,Atrazine,*10,4.00E-05,NUF1_3,V. paradoxus
E7,0.469,0.135371429,Atrazine,*10,4.00E-05,KUE4_4,B. muralis
E8,0.464,0.159942857,Atrazine,*10,4.00E-05,KUE4_4,B. muralis
E9,0.53,0.149942857,Atrazine,*10,4.00E-05,KUE4_4,B. muralis
F7,0.3295,0.046971429,Atrazine,*10,4.00E-05,KUE4_10,S. acidaminiphila
F8,0.3375,0.047714286,Atrazine,*10,4.00E-05,KUE4_10,S. acidaminiphila
F9,0.3405,0.047485714,Atrazine,*10,4.00E-05,KUE4_10,S. acidaminiphila
G7,0.208,0.036685714,Atrazine,*10,4.00E-05,OP50,E. coli
G8,0.2145,0.036171429,Atrazine,*10,4.00E-05,OP50,E. coli
G9,0.22,0.036914286,Atrazine,*10,4.00E-05,OP50,E. coli
H7,0.159,0.042685714,Atrazine,*10,4.00E-05,SC,SC
H8,0.1565,0.041485714,Atrazine,*10,4.00E-05,SC,SC
H9,0.1645,0.042971429,Atrazine,*10,4.00E-05,SC,SC
A10,0.207,0.042057143,Atrazine,*100,4.00E-04,LUF4_5,L. rhizovicinus
A11,0.192,0.037542857,Atrazine,*100,4.00E-04,LUF4_5,L. rhizovicinus
A12,0.1595,0.026114286,Atrazine,*100,4.00E-04,LUF4_5,L. rhizovicinus
B10,0.322,0.033142857,Atrazine,*100,4.00E-04,KUB5_13,V. paradoxus
B11,0.298,0.028,Atrazine,*100,4.00E-04,KUB5_13,V. paradoxus
B12,0.221,0.027142857,Atrazine,*100,4.00E-04,KUB5_13,V. paradoxus
C10,0.5085,0.1192,Atrazine,*100,4.00E-04,NUE1_1,B. muralis
C11,0.519,0.132342857,Atrazine,*100,4.00E-04,NUE1_1,B. muralis
C12,0.267,0.0408,Atrazine,*100,4.00E-04,NUE1_1,B. muralis
D10,0.325,0.032,Atrazine,*100,4.00E-04,NUF1_3,V. paradoxus
D11,0.3255,0.032971429,Atrazine,*100,4.00E-04,NUF1_3,V. paradoxus
D12,0.233,0.025028571,Atrazine,*100,4.00E-04,NUF1_3,V. paradoxus
E10,0.433,0.140457143,Atrazine,*100,4.00E-04,KUE4_4,B. muralis
E11,0.4885,0.184114286,Atrazine,*100,4.00E-04,KUE4_4,B. muralis
E12,0.2635,0.067885714,Atrazine,*100,4.00E-04,KUE4_4,B. muralis
F10,0.341,0.049428571,Atrazine,*100,4.00E-04,KUE4_10,S. acidaminiphila
F11,0.323,0.0484,Atrazine,*100,4.00E-04,KUE4_10,S. acidaminiphila
F12,0.2685,0.044685714,Atrazine,*100,4.00E-04,KUE4_10,S. acidaminiphila
G10,0.221,0.037428571,Atrazine,*100,4.00E-04,OP50,E. coli
G11,0.216,0.037028571,Atrazine,*100,4.00E-04,OP50,E. coli
G12,0.181,0.037142857,Atrazine,*100,4.00E-04,OP50,E. coli
H10,0.156,0.046628571,Atrazine,*100,4.00E-04,SC,SC
H11,0.1615,0.048285714,Atrazine,*100,4.00E-04,SC,SC
H12,0.153,0.043657143,Atrazine,*100,4.00E-04,SC,SC
A1,0.101,0.014457143,Atrazine,/10,4.00E-07,LUF4_5,L. rhizovicinus
A2,0.2265,0.044228571,Atrazine,/10,4.00E-07,LUF4_5,L. rhizovicinus
A3,0.247,0.046342857,Atrazine,/10,4.00E-07,LUF4_5,L. rhizovicinus
B1,0.1825,0.017085714,Atrazine,/10,4.00E-07,KUB5_13,V. paradoxus
B2,0.292,0.027428571,Atrazine,/10,4.00E-07,KUB5_13,V. paradoxus
B3,0.3165,0.028742857,Atrazine,/10,4.00E-07,KUB5_13,V. paradoxus
C1,0.116,0.021028571,Atrazine,/10,4.00E-07,NUE1_1,B. muralis
C2,0.5015,0.148742857,Atrazine,/10,4.00E-07,NUE1_1,B. muralis
C3,0.499,0.114457143,Atrazine,/10,4.00E-07,NUE1_1,B. muralis
D1,0.222,0.025542857,Atrazine,/10,4.00E-07,NUF1_3,V. paradoxus
D2,0.2765,0.025885714,Atrazine,/10,4.00E-07,NUF1_3,V. paradoxus
D3,0.326,0.031142857,Atrazine,/10,4.00E-07,NUF1_3,V. paradoxus
E1,0.2915,0.063657143,Atrazine,/10,4.00E-07,KUE4_4,B. muralis
E2,0.5145,0.2004,Atrazine,/10,4.00E-07,KUE4_4,B. muralis
E3,0.511,0.178857143,Atrazine,/10,4.00E-07,KUE4_4,B. muralis
F1,0.222,0.036971429,Atrazine,/10,4.00E-07,KUE4_10,S. acidaminiphila
F2,0.258,0.038971429,Atrazine,/10,4.00E-07,KUE4_10,S. acidaminiphila
F3,0.32,0.046057143,Atrazine,/10,4.00E-07,KUE4_10,S. acidaminiphila
G1,0.214,0.038571429,Atrazine,/10,4.00E-07,OP50,E. coli
G2,0.107,0.014342857,Atrazine,/10,4.00E-07,OP50,E. coli
G3,0.2255,0.036571429,Atrazine,/10,4.00E-07,OP50,E. coli
H1,0.142,0.036685714,Atrazine,/10,4.00E-07,SC,SC
H2,0.1655,0.041485714,Atrazine,/10,4.00E-07,SC,SC
H3,0.164,0.040571429,Atrazine,/10,4.00E-07,SC,SC
A4,0.241,0.043028571,Atrazine,TGT,4.00E-06,LUF4_5,L. rhizovicinus
A5,0.217,0.0444,Atrazine,TGT,4.00E-06,LUF4_5,L. rhizovicinus
A6,0.2245,0.046857143,Atrazine,TGT,4.00E-06,LUF4_5,L. rhizovicinus
B4,0.3085,0.033485714,Atrazine,TGT,4.00E-06,KUB5_13,V. paradoxus
B5,0.3125,0.0284,Atrazine,TGT,4.00E-06,KUB5_13,V. paradoxus
B6,0.313,0.027828571,Atrazine,TGT,4.00E-06,KUB5_13,V. paradoxus
C4,0.5385,0.081942857,Atrazine,TGT,4.00E-06,NUE1_1,B. muralis
C5,0.5315,0.113428571,Atrazine,TGT,4.00E-06,NUE1_1,B. muralis
C6,0.5355,0.11,Atrazine,TGT,4.00E-06,NUE1_1,B. muralis
D4,0.335,0.031942857,Atrazine,TGT,4.00E-06,NUF1_3,V. paradoxus
D5,0.3285,0.032457143,Atrazine,TGT,4.00E-06,NUF1_3,V. paradoxus
D6,0.324,0.032171429,Atrazine,TGT,4.00E-06,NUF1_3,V. paradoxus
E4,0.4345,0.172171429,Atrazine,TGT,4.00E-06,KUE4_4,B. muralis
E5,0.4755,0.149485714,Atrazine,TGT,4.00E-06,KUE4_4,B. muralis
E6,0.485,0.174228571,Atrazine,TGT,4.00E-06,KUE4_4,B. muralis
F4,0.36,0.050171429,Atrazine,TGT,4.00E-06,KUE4_10,S. acidaminiphila
F5,0.3335,0.0464,Atrazine,TGT,4.00E-06,KUE4_10,S. acidaminiphila
F6,0.3415,0.0484,Atrazine,TGT,4.00E-06,KUE4_10,S. acidaminiphila
G4,0.22,0.036685714,Atrazine,TGT,4.00E-06,OP50,E. coli
G5,0.216,0.036171429,Atrazine,TGT,4.00E-06,OP50,E. coli
G6,0.215,0.0364,Atrazine,TGT,4.00E-06,OP50,E. coli
H4,0.162,0.040857143,Atrazine,TGT,4.00E-06,SC,SC
H5,0.1585,0.0396,Atrazine,TGT,4.00E-06,SC,SC
H6,0.159,0.041714286,Atrazine,TGT,4.00E-06,SC,SC
A7,0.0455,0.000742857,Azostrobin,*10,1000,LUF4_5,L. rhizovicinus
A8,0.048,0.000742857,Azostrobin,*10,1000,LUF4_5,L. rhizovicinus
A9,0.048,0.001257143,Azostrobin,*10,1000,LUF4_5,L. rhizovicinus
B7,0.0455,0.0004,Azostrobin,*10,1000,KUB5_13,V. paradoxus
B8,0.045,0.000285714,Azostrobin,*10,1000,KUB5_13,V. paradoxus
B9,0.047,0.000342857,Azostrobin,*10,1000,KUB5_13,V. paradoxus
C7,0.047,0.001028571,Azostrobin,*10,1000,NUE1_1,B. muralis
C8,0.048,0.0012,Azostrobin,*10,1000,NUE1_1,B. muralis
C9,0.049,0.001142857,Azostrobin,*10,1000,NUE1_1,B. muralis
D7,0.047,0.000514286,Azostrobin,*10,1000,NUF1_3,V. paradoxus
D8,0.045,0.000342857,Azostrobin,*10,1000,NUF1_3,V. paradoxus
D9,0.046,0.000285714,Azostrobin,*10,1000,NUF1_3,V. paradoxus
E7,0.046,0.000571429,Azostrobin,*10,1000,KUE4_4,B. muralis
E8,0.045,0.000685714,Azostrobin,*10,1000,KUE4_4,B. muralis
E9,0.045,0.000457143,Azostrobin,*10,1000,KUE4_4,B. muralis
F7,0.045,0.000285714,Azostrobin,*10,1000,KUE4_10,S. acidaminiphila
F8,0.049,0.000342857,Azostrobin,*10,1000,KUE4_10,S. acidaminiphila
F9,0.045,0.000342857,Azostrobin,*10,1000,KUE4_10,S. acidaminiphila
G7,0.047,0.000742857,Azostrobin,*10,1000,OP50,E. coli
G8,0.047,0.001314286,Azostrobin,*10,1000,OP50,E. coli
G9,0.048,0.0008,Azostrobin,*10,1000,OP50,E. coli
H7,0.046,0.001714286,Azostrobin,*10,1000,SC,SC
H8,0.047,0.0016,Azostrobin,*10,1000,SC,SC
H9,0.048,0.001485714,Azostrobin,*10,1000,SC,SC
A7,0.2035,0.043542857,Tebuconazole,*10,1000,LUF4_5,L. rhizovicinus
A8,0.1915,0.0392,Tebuconazole,*10,1000,LUF4_5,L. rhizovicinus
A9,0.193,0.037314286,Tebuconazole,*10,1000,LUF4_5,L. rhizovicinus
B7,0.314,0.033771429,Tebuconazole,*10,1000,KUB5_13,V. paradoxus
B8,0.3155,0.028285714,Tebuconazole,*10,1000,KUB5_13,V. paradoxus
B9,0.3115,0.033314286,Tebuconazole,*10,1000,KUB5_13,V. paradoxus
C7,0.1885,0.019542857,Tebuconazole,*10,1000,NUE1_1,B. muralis
C8,0.196,0.018285714,Tebuconazole,*10,1000,NUE1_1,B. muralis
C9,0.1865,0.012914286,Tebuconazole,*10,1000,NUE1_1,B. muralis
D7,0.3135,0.030514286,Tebuconazole,*10,1000,NUF1_3,V. paradoxus
D8,0.3125,0.030742857,Tebuconazole,*10,1000,NUF1_3,V. paradoxus
D9,0.314,0.030742857,Tebuconazole,*10,1000,NUF1_3,V. paradoxus
E7,0.116,0.038228571,Tebuconazole,*10,1000,KUE4_4,B. muralis
E8,0.141,0.039257143,Tebuconazole,*10,1000,KUE4_4,B. muralis
E9,0.1005,0.028914286,Tebuconazole,*10,1000,KUE4_4,B. muralis
F7,0.047,0.002,Tebuconazole,*10,1000,KUE4_10,S. acidaminiphila
F8,0.05,0.003314286,Tebuconazole,*10,1000,KUE4_10,S. acidaminiphila
F9,0.0455,0.0012,Tebuconazole,*10,1000,KUE4_10,S. acidaminiphila
G7,0.129,0.014228571,Tebuconazole,*10,1000,OP50,E. coli
G8,0.1345,0.0148,Tebuconazole,*10,1000,OP50,E. coli
G9,0.1285,0.014685714,Tebuconazole,*10,1000,OP50,E. coli
H7,0.1865,0.059142857,Tebuconazole,*10,1000,SC,SC
H8,0.194,0.063257143,Tebuconazole,*10,1000,SC,SC
H9,0.1885,0.0608,Tebuconazole,*10,1000,SC,SC
A10,0.046,0.000742857,Azostrobin,*100,10000,LUF4_5,L. rhizovicinus
A11,0.047,0.000742857,Azostrobin,*100,10000,LUF4_5,L. rhizovicinus
A12,0.047,0.002228571,Azostrobin,*100,10000,LUF4_5,L. rhizovicinus
B10,0.049,0.000514286,Azostrobin,*100,10000,KUB5_13,V. paradoxus
B11,0.047,0.000857143,Azostrobin,*100,10000,KUB5_13,V. paradoxus
B12,0.045,0.000914286,Azostrobin,*100,10000,KUB5_13,V. paradoxus
C10,0.049,0.001028571,Azostrobin,*100,10000,NUE1_1,B. muralis
C11,0.048,0.000971429,Azostrobin,*100,10000,NUE1_1,B. muralis
C12,0.044,0.000685714,Azostrobin,*100,10000,NUE1_1,B. muralis
D10,0.047,0.000628571,Azostrobin,*100,10000,NUF1_3,V. paradoxus
D11,0.046,0.0008,Azostrobin,*100,10000,NUF1_3,V. paradoxus
D12,0.045,0.0008,Azostrobin,*100,10000,NUF1_3,V. paradoxus
E10,0.045,0.0008,Azostrobin,*100,10000,KUE4_4,B. muralis
E11,0.046,0.0008,Azostrobin,*100,10000,KUE4_4,B. muralis
E12,0.045,0.0008,Azostrobin,*100,10000,KUE4_4,B. muralis
F10,0.045,0.000342857,Azostrobin,*100,10000,KUE4_10,S. acidaminiphila
F11,0.047,0.000514286,Azostrobin,*100,10000,KUE4_10,S. acidaminiphila
F12,0.046,5.71E-05,Azostrobin,*100,10000,KUE4_10,S. acidaminiphila
G10,0.045,0.001085714,Azostrobin,*100,10000,OP50,E. coli
G11,0.0445,0.001142857,Azostrobin,*100,10000,OP50,E. coli
G12,0.045,0.0012,Azostrobin,*100,10000,OP50,E. coli
H10,0.045,0.001085714,Azostrobin,*100,10000,SC,SC
H11,0.0445,0.0008,Azostrobin,*100,10000,SC,SC
H12,0.046,0.000971429,Azostrobin,*100,10000,SC,SC
A10,0.057,0.002285714,Tebuconazole,*100,10000,LUF4_5,L. rhizovicinus
A11,0.058,0.002285714,Tebuconazole,*100,10000,LUF4_5,L. rhizovicinus
A12,0.0595,0.002971429,Tebuconazole,*100,10000,LUF4_5,L. rhizovicinus
B10,0.059,0.002,Tebuconazole,*100,10000,KUB5_13,V. paradoxus
B11,0.061,0.002914286,Tebuconazole,*100,10000,KUB5_13,V. paradoxus
B12,0.06,0.002857143,Tebuconazole,*100,10000,KUB5_13,V. paradoxus
C10,0.064,0.001542857,Tebuconazole,*100,10000,NUE1_1,B. muralis
