well,max.running.average,max.slopes,stressor,relative concentration,actual concentration (mg/ml),bacteria,Species
C11,0.065,0.001771429,Tebuconazole,*100,10000,NUE1_1,B. muralis
C12,0.0605,-5.71E-05,Tebuconazole,*100,10000,NUE1_1,B. muralis
D10,0.058,0.001714286,Tebuconazole,*100,10000,NUF1_3,V. paradoxus
D11,0.06,0.002857143,Tebuconazole,*100,10000,NUF1_3,V. paradoxus
D12,0.057,0.002,Tebuconazole,*100,10000,NUF1_3,V. paradoxus
E10,0.059,0.001142857,Tebuconazole,*100,10000,KUE4_4,B. muralis
E11,0.06,0.002,Tebuconazole,*100,10000,KUE4_4,B. muralis
E12,0.059,0.002114286,Tebuconazole,*100,10000,KUE4_4,B. muralis
F10,0.046,0.000628571,Tebuconazole,*100,10000,KUE4_10,S. acidaminiphila
F11,0.048,0.0008,Tebuconazole,*100,10000,KUE4_10,S. acidaminiphila
F12,0.047,0.000742857,Tebuconazole,*100,10000,KUE4_10,S. acidaminiphila
G10,0.068,0.001828571,Tebuconazole,*100,10000,OP50,E. coli
G11,0.067,0.001942857,Tebuconazole,*100,10000,OP50,E. coli
G12,0.066,0.003942857,Tebuconazole,*100,10000,OP50,E. coli
H10,0.064,0.001028571,Tebuconazole,*100,10000,SC,SC
H11,0.0635,0.001257143,Tebuconazole,*100,10000,SC,SC
H12,0.063,0.002171429,Tebuconazole,*100,10000,SC,SC
A7,0.2845,0.048742857,Chloramphenicol,*10,2.00E-06,LUF4_5,L. rhizovicinus
A8,0.291,0.044857143,Chloramphenicol,*10,2.00E-06,LUF4_5,L. rhizovicinus
A9,0.2915,0.045028571,Chloramphenicol,*10,2.00E-06,LUF4_5,L. rhizovicinus
B7,0.358,0.0308,Chloramphenicol,*10,2.00E-06,KUB5_13,V. paradoxus
B8,0.3755,0.025657143,Chloramphenicol,*10,2.00E-06,KUB5_13,V. paradoxus
B9,0.37,0.026342857,Chloramphenicol,*10,2.00E-06,KUB5_13,V. paradoxus
C7,0.7465,0.098571429,Chloramphenicol,*10,2.00E-06,NUE1_1,B. muralis
C8,0.728,0.114457143,Chloramphenicol,*10,2.00E-06,NUE1_1,B. muralis
C9,0.778,0.107542857,Chloramphenicol,*10,2.00E-06,NUE1_1,B. muralis
D7,0.4495,0.040857143,Chloramphenicol,*10,2.00E-06,NUF1_3,V. paradoxus
D8,0.592,0.045771429,Chloramphenicol,*10,2.00E-06,NUF1_3,V. paradoxus
D9,0.594,0.047771429,Chloramphenicol,*10,2.00E-06,NUF1_3,V. paradoxus
E7,0.6465,0.207028571,Chloramphenicol,*10,2.00E-06,KUE4_4,B. muralis
E8,0.6915,0.2124,Chloramphenicol,*10,2.00E-06,KUE4_4,B. muralis
E9,0.6995,0.1708,Chloramphenicol,*10,2.00E-06,KUE4_4,B. muralis
F7,0.581,0.089542857,Chloramphenicol,*10,2.00E-06,KUE4_10,S. acidaminiphila
F8,0.579,0.087142857,Chloramphenicol,*10,2.00E-06,KUE4_10,S. acidaminiphila
F9,0.5825,0.0808,Chloramphenicol,*10,2.00E-06,KUE4_10,S. acidaminiphila
G7,0.262,0.061942857,Chloramphenicol,*10,2.00E-06,OP50,E. coli
G8,0.271,0.063542857,Chloramphenicol,*10,2.00E-06,OP50,E. coli
G9,0.268,0.063828571,Chloramphenicol,*10,2.00E-06,OP50,E. coli
H7,0.2455,0.076571429,Chloramphenicol,*10,2.00E-06,SC,SC
H8,0.2325,0.073371429,Chloramphenicol,*10,2.00E-06,SC,SC
H9,0.229,0.071142857,Chloramphenicol,*10,2.00E-06,SC,SC
A10,0.2695,0.044171429,Chloramphenicol,*100,2.00E-05,LUF4_5,L. rhizovicinus
A11,0.2735,0.037028571,Chloramphenicol,*100,2.00E-05,LUF4_5,L. rhizovicinus
A12,0.2465,0.035314286,Chloramphenicol,*100,2.00E-05,LUF4_5,L. rhizovicinus
B10,0.3695,0.026,Chloramphenicol,*100,2.00E-05,KUB5_13,V. paradoxus
B11,0.374,0.0884,Chloramphenicol,*100,2.00E-05,KUB5_13,V. paradoxus
B12,0.366,0.029714286,Chloramphenicol,*100,2.00E-05,KUB5_13,V. paradoxus
C10,0.783,0.113314286,Chloramphenicol,*100,2.00E-05,NUE1_1,B. muralis
C11,0.745,0.114514286,Chloramphenicol,*100,2.00E-05,NUE1_1,B. muralis
C12,0.5295,0.120285714,Chloramphenicol,*100,2.00E-05,NUE1_1,B. muralis
D10,0.569,0.052171429,Chloramphenicol,*100,2.00E-05,NUF1_3,V. paradoxus
D11,0.5875,0.05,Chloramphenicol,*100,2.00E-05,NUF1_3,V. paradoxus
D12,0.3415,0.028514286,Chloramphenicol,*100,2.00E-05,NUF1_3,V. paradoxus
E10,0.7335,0.194228571,Chloramphenicol,*100,2.00E-05,KUE4_4,B. muralis
E11,0.6355,0.2016,Chloramphenicol,*100,2.00E-05,KUE4_4,B. muralis
E12,0.4455,0.094628571,Chloramphenicol,*100,2.00E-05,KUE4_4,B. muralis
F10,0.5925,0.095428571,Chloramphenicol,*100,2.00E-05,KUE4_10,S. acidaminiphila
F11,0.545,0.088514286,Chloramphenicol,*100,2.00E-05,KUE4_10,S. acidaminiphila
F12,0.345,0.055028571,Chloramphenicol,*100,2.00E-05,KUE4_10,S. acidaminiphila
G10,0.276,0.067142857,Chloramphenicol,*100,2.00E-05,OP50,E. coli
G11,0.269,0.065142857,Chloramphenicol,*100,2.00E-05,OP50,E. coli
G12,0.2145,0.054742857,Chloramphenicol,*100,2.00E-05,OP50,E. coli
H10,0.2535,0.071257143,Chloramphenicol,*100,2.00E-05,SC,SC
H11,0.232,0.0696,Chloramphenicol,*100,2.00E-05,SC,SC
H12,0.1805,0.062,Chloramphenicol,*100,2.00E-05,SC,SC
A1,0.2655,0.042628571,Chloramphenicol,/10,2.00E-08,LUF4_5,L. rhizovicinus
A2,0.311,0.041542857,Chloramphenicol,/10,2.00E-08,LUF4_5,L. rhizovicinus
A3,0.303,0.040685714,Chloramphenicol,/10,2.00E-08,LUF4_5,L. rhizovicinus
B1,0.362,0.028914286,Chloramphenicol,/10,2.00E-08,KUB5_13,V. paradoxus
B2,0.3615,0.030228571,Chloramphenicol,/10,2.00E-08,KUB5_13,V. paradoxus
B3,0.36,0.026114286,Chloramphenicol,/10,2.00E-08,KUB5_13,V. paradoxus
C1,0.576,0.114228571,Chloramphenicol,/10,2.00E-08,NUE1_1,B. muralis
C2,0.689,0.1084,Chloramphenicol,/10,2.00E-08,NUE1_1,B. muralis
C3,0.808,0.113371429,Chloramphenicol,/10,2.00E-08,NUE1_1,B. muralis
D1,0.347,0.028971429,Chloramphenicol,/10,2.00E-08,NUF1_3,V. paradoxus
D2,0.595,0.043371429,Chloramphenicol,/10,2.00E-08,NUF1_3,V. paradoxus
D3,0.597,0.050971429,Chloramphenicol,/10,2.00E-08,NUF1_3,V. paradoxus
E1,0.4505,0.110971429,Chloramphenicol,/10,2.00E-08,KUE4_4,B. muralis
E2,0.6645,0.131142857,Chloramphenicol,/10,2.00E-08,KUE4_4,B. muralis
E3,0.756,0.160171429,Chloramphenicol,/10,2.00E-08,KUE4_4,B. muralis
F1,0.374,0.056514286,Chloramphenicol,/10,2.00E-08,KUE4_10,S. acidaminiphila
F2,0.5955,0.089885714,Chloramphenicol,/10,2.00E-08,KUE4_10,S. acidaminiphila
F3,0.5985,0.093142857,Chloramphenicol,/10,2.00E-08,KUE4_10,S. acidaminiphila
G1,0.266,0.064514286,Chloramphenicol,/10,2.00E-08,OP50,E. coli
G2,0.2855,0.064742857,Chloramphenicol,/10,2.00E-08,OP50,E. coli
G3,0.318,0.0672,Chloramphenicol,/10,2.00E-08,OP50,E. coli
H1,0.21,0.070342857,Chloramphenicol,/10,2.00E-08,SC,SC
H2,0.265,0.078971429,Chloramphenicol,/10,2.00E-08,SC,SC
H3,0.241,0.075714286,Chloramphenicol,/10,2.00E-08,SC,SC
A4,0.3095,0.037314286,Chloramphenicol,TGT,2.00E-07,LUF4_5,L. rhizovicinus
A5,0.297,0.045885714,Chloramphenicol,TGT,2.00E-07,LUF4_5,L. rhizovicinus
A6,0.2425,0.04,Chloramphenicol,TGT,2.00E-07,LUF4_5,L. rhizovicinus
B4,0.3785,0.027142857,Chloramphenicol,TGT,2.00E-07,KUB5_13,V. paradoxus
B5,0.372,0.026685714,Chloramphenicol,TGT,2.00E-07,KUB5_13,V. paradoxus
B6,0.376,0.033257143,Chloramphenicol,TGT,2.00E-07,KUB5_13,V. paradoxus
C4,0.7475,0.101542857,Chloramphenicol,TGT,2.00E-07,NUE1_1,B. muralis
C5,0.7255,0.1244,Chloramphenicol,TGT,2.00E-07,NUE1_1,B. muralis
C6,0.765,0.122685714,Chloramphenicol,TGT,2.00E-07,NUE1_1,B. muralis
D4,0.61,0.049485714,Chloramphenicol,TGT,2.00E-07,NUF1_3,V. paradoxus
D5,0.599,0.045942857,Chloramphenicol,TGT,2.00E-07,NUF1_3,V. paradoxus
D6,0.607,0.045257143,Chloramphenicol,TGT,2.00E-07,NUF1_3,V. paradoxus
E4,0.749,0.2196,Chloramphenicol,TGT,2.00E-07,KUE4_4,B. muralis
E5,0.6755,0.202857143,Chloramphenicol,TGT,2.00E-07,KUE4_4,B. muralis
E6,0.6985,0.194,Chloramphenicol,TGT,2.00E-07,KUE4_4,B. muralis
F4,0.6465,0.096457143,Chloramphenicol,TGT,2.00E-07,KUE4_10,S. acidaminiphila
F5,0.571,0.086228571,Chloramphenicol,TGT,2.00E-07,KUE4_10,S. acidaminiphila
F6,0.597,0.0908,Chloramphenicol,TGT,2.00E-07,KUE4_10,S. acidaminiphila
G4,0.2815,0.065085714,Chloramphenicol,TGT,2.00E-07,OP50,E. coli
G5,0.275,0.065771429,Chloramphenicol,TGT,2.00E-07,OP50,E. coli
G6,0.2705,0.064571429,Chloramphenicol,TGT,2.00E-07,OP50,E. coli
H4,0.263,0.073257143,Chloramphenicol,TGT,2.00E-07,SC,SC
H5,0.247,0.0764,Chloramphenicol,TGT,2.00E-07,SC,SC
H6,0.244,0.0776,Chloramphenicol,TGT,2.00E-07,SC,SC
A1,0.193,0.034,Control,,,,
A2,0.224,0.042057143,Control,,,,
A3,0.238,0.040171429,Control,,,,
A4,0.2345,0.040742857,Control,,,,
A5,0.2865,0.050342857,Control,,,,
A6,0.2615,0.041314286,Control,,,,
A7,0.228,0.045657143,Control,,,,
A8,0.2285,0.038057143,Control,,,,
A9,0.22,0.037314286,Control,,,,
A10,0.28,0.045257143,Control,,,,
A11,0.2845,0.043828571,Control,,,,
A12,0.2385,0.037828571,Control,,,,
B1,0.245,0.022857143,Control,,,,
B2,0.32,0.026628571,Control,,,,
B3,0.3205,0.030457143,Control,,,,
B4,0.3325,0.026228571,Control,,,,
B5,0.3305,0.024457143,Control,,,,
B6,0.345,0.026285714,Control,,,,
B7,0.3045,0.033714286,Control,,,,
B8,0.3065,0.0744,Control,,,,
B9,0.384,0.042857143,Control,,,,
B10,0.3905,0.0832,Control,,,,
B11,0.3565,0.066114286,Control,,,,
B12,0.298,0.072914286,Control,,,,
C1,0.415,0.072057143,Control,,,,
C2,0.5465,0.116114286,Control,,,,
C3,0.502,0.113428571,Control,,,,
C4,0.548,0.093657143,Control,,,,
C5,0.512,0.113828571,Control,,,,
C6,0.5325,0.103028571,Control,,,,
C7,0.5295,0.128514286,Control,,,,
C8,0.486,0.097828571,Control,,,,
C9,0.56,0.101257143,Control,,,,
C10,0.4765,0.094342857,Control,,,,
C11,0.72,0.1068,Control,,,,
C12,0.3995,0.102628571,Control,,,,
D1,0.282,0.025885714,Control,,,,
D2,0.4,0.035885714,Control,,,,
D3,0.391,0.0348,Control,,,,
D4,0.35,0.032342857,Control,,,,
D5,0.3565,0.032914286,Control,,,,
D6,0.355,0.032514286,Control,,,,
D7,0.356,0.033828571,Control,,,,
D8,0.35,0.034342857,Control,,,,
D9,0.348,0.033085714,Control,,,,
D10,0.34,0.083485714,Control,,,,
D11,0.255,0.040571429,Control,,,,
D12,0.292,0.060971429,Control,,,,
E1,0.043,0.002228571,Control,,,,
E2,0.05,0.003142857,Control,,,,
E3,0.0485,0.001771429,Control,,,,
E4,0.057,0.0028,Control,,,,
E5,0.0555,0.0016,Control,,,,
E6,0.058,0.001314286,Control,,,,
E7,0.06,0.002742857,Control,,,,
E8,0.051,0.001771429,Control,,,,
E9,0.045,0.001314286,Control,,,,
E10,0.0505,0.003028571,Control,,,,
E11,0.0755,0.009314286,Control,,,,
E12,0.044,0.000742857,Control,,,,
F1,0.3185,0.045714286,Control,,,,
F2,0.3365,0.048457143,Control,,,,
F3,0.3455,0.048228571,Control,,,,
F4,0.3495,0.048114286,Control,,,,
F5,0.346,0.046457143,Control,,,,
F6,0.349,0.048571429,Control,,,,
F7,0.343,0.048114286,Control,,,,
F8,0.355,0.048,Control,,,,
F9,0.3775,0.051028571,Control,,,,
F10,0.384,0.049828571,Control,,,,
F11,0.3705,0.046685714,Control,,,,
F12,0.2975,0.045771429,Control,,,,
G1,0.202,0.0392,Control,,,,
G2,0.2245,0.0384,Control,,,,
G3,0.2335,0.038571429,Control,,,,
G4,0.235,0.0396,Control,,,,
G5,0.245,0.040171429,Control,,,,
G6,0.2255,0.038057143,Control,,,,
G7,0.2205,0.038457143,Control,,,,
G8,0.2235,0.038285714,Control,,,,
G9,0.219,0.035257143,Control,,,,
G10,0.3185,0.042628571,Control,,,,
G11,0.2205,0.037371429,Control,,,,
G12,0.2025,0.035371429,Control,,,,
H1,0.184,0.056285714,Control,,,,
H2,0.2245,0.061657143,Control,,,,
H3,0.21,0.060171429,Control,,,,
H4,0.197,0.054114286,Control,,,,
H5,0.198,0.057371429,Control,,,,
H6,0.1955,0.0568,Control,,,,
H7,0.1955,0.0572,Control,,,,
H8,0.199,0.059885714,Control,,,,
H9,0.1875,0.051828571,Control,,,,
H10,0.186,0.048457143,Control,,,,
H11,0.2135,0.060971429,Control,,,,
H12,0.184,0.050057143,Control,,,,
A7,0.2465,0.041885714,Copper,*10,2.00E-01,LUF4_5,L. rhizovicinus
A8,0.196,0.029542857,Copper,*10,2.00E-01,LUF4_5,L. rhizovicinus
A9,0.199,0.031371429,Copper,*10,2.00E-01,LUF4_5,L. rhizovicinus
B7,0.39,0.054914286,Copper,*10,2.00E-01,KUB5_13,V. paradoxus
B8,0.3315,0.0324,Copper,*10,2.00E-01,KUB5_13,V. paradoxus
B9,0.3555,0.126,Copper,*10,2.00E-01,KUB5_13,V. paradoxus
C7,0.541,0.117428571,Copper,*10,2.00E-01,NUE1_1,B. muralis
C8,0.4915,0.099085714,Copper,*10,2.00E-01,NUE1_1,B. muralis
C9,0.4845,0.100228571,Copper,*10,2.00E-01,NUE1_1,B. muralis
D7,0.3,0.047085714,Copper,*10,2.00E-01,NUF1_3,V. paradoxus
D8,0.33,0.030971429,Copper,*10,2.00E-01,NUF1_3,V. paradoxus
D9,0.335,0.032685714,Copper,*10,2.00E-01,NUF1_3,V. paradoxus
E7,0.507,0.207314286,Copper,*10,2.00E-01,KUE4_4,B. muralis
E8,0.5145,0.205485714,Copper,*10,2.00E-01,KUE4_4,B. muralis
E9,0.495,0.157542857,Copper,*10,2.00E-01,KUE4_4,B. muralis
F7,0.3665,0.049714286,Copper,*10,2.00E-01,KUE4_10,S. acidaminiphila
F8,0.4045,0.049314286,Copper,*10,2.00E-01,KUE4_10,S. acidaminiphila
F9,0.3605,0.047314286,Copper,*10,2.00E-01,KUE4_10,S. acidaminiphila
G7,0.2245,0.036057143,Copper,*10,2.00E-01,OP50,E. coli
G8,0.2265,0.035885714,Copper,*10,2.00E-01,OP50,E. coli
G9,0.2275,0.036114286,Copper,*10,2.00E-01,OP50,E. coli
H7,0.1815,0.048971429,Copper,*10,2.00E-01,SC,SC
H8,0.1865,0.049371429,Copper,*10,2.00E-01,SC,SC
H9,0.184,0.050285714,Copper,*10,2.00E-01,SC,SC
A10,0.233,0.0372,Copper,*100,2.00E+00,LUF4_5,L. rhizovicinus
A11,0.2415,0.0332,Copper,*100,2.00E+00,LUF4_5,L. rhizovicinus
A12,0.226,0.036,Copper,*100,2.00E+00,LUF4_5,L. rhizovicinus
B10,0.3065,0.077028571,Copper,*100,2.00E+00,KUB5_13,V. paradoxus
B11,0.2985,0.053428571,Copper,*100,2.00E+00,KUB5_13,V. paradoxus
B12,0.2945,0.060685714,Copper,*100,2.00E+00,KUB5_13,V. paradoxus
C10,0.478,0.1128,Copper,*100,2.00E+00,NUE1_1,B. muralis
C11,0.475,0.122171429,Copper,*100,2.00E+00,NUE1_1,B. muralis
C12,0.27,0.0356,Copper,*100,2.00E+00,NUE1_1,B. muralis
D10,0.3165,0.063885714,Copper,*100,2.00E+00,NUF1_3,V. paradoxus
D11,0.366,0.087428571,Copper,*100,2.00E+00,NUF1_3,V. paradoxus
D12,0.291,0.067828571,Copper,*100,2.00E+00,NUF1_3,V. paradoxus
E10,0.4535,0.1428,Copper,*100,2.00E+00,KUE4_4,B. muralis
E11,0.428,0.1548,Copper,*100,2.00E+00,KUE4_4,B. muralis
E12,0.4055,0.143714286,Copper,*100,2.00E+00,KUE4_4,B. muralis
F10,0.394,0.047828571,Copper,*100,2.00E+00,KUE4_10,S. acidaminiphila
F11,0.381,0.047828571,Copper,*100,2.00E+00,KUE4_10,S. acidaminiphila
F12,0.3385,0.046285714,Copper,*100,2.00E+00,KUE4_10,S. acidaminiphila
G10,0.2805,0.038114286,Copper,*100,2.00E+00,OP50,E. coli
G11,0.223,0.036,Copper,*100,2.00E+00,OP50,E. coli
G12,0.203,0.035942857,Copper,*100,2.00E+00,OP50,E. coli
H10,0.1865,0.052171429,Copper,*100,2.00E+00,SC,SC
H11,0.185,0.050857143,Copper,*100,2.00E+00,SC,SC
H12,0.176,0.048057143,Copper,*100,2.00E+00,SC,SC
A1,0.1855,0.028571429,Copper,/10,2.00E-03,LUF4_5,L. rhizovicinus
A2,0.1955,0.032628571,Copper,/10,2.00E-03,LUF4_5,L. rhizovicinus
A3,0.1965,0.034914286,Copper,/10,2.00E-03,LUF4_5,L. rhizovicinus
B1,0.2215,0.026228571,Copper,/10,2.00E-03,KUB5_13,V. paradoxus
B2,0.291,0.026628571,Copper,/10,2.00E-03,KUB5_13,V. paradoxus
B3,0.306,0.026228571,Copper,/10,2.00E-03,KUB5_13,V. paradoxus
C1,0.2105,0.030914286,Copper,/10,2.00E-03,NUE1_1,B. muralis
C2,0.5225,0.137257143,Copper,/10,2.00E-03,NUE1_1,B. muralis
C3,0.5095,0.108571429,Copper,/10,2.00E-03,NUE1_1,B. muralis
D1,0.306,0.029142857,Copper,/10,2.00E-03,NUF1_3,V. paradoxus
D2,0.371,0.034971429,Copper,/10,2.00E-03,NUF1_3,V. paradoxus
D3,0.398,0.037828571,Copper,/10,2.00E-03,NUF1_3,V. paradoxus
E1,0.214,0.052571429,Copper,/10,2.00E-03,KUE4_4,B. muralis
E2,0.4825,0.198171429,Copper,/10,2.00E-03,KUE4_4,B. muralis
E3,0.5435,0.155085714,Copper,/10,2.00E-03,KUE4_4,B. muralis
F1,0.303,0.045771429,Copper,/10,2.00E-03,KUE4_10,S. acidaminiphila
F2,0.378,0.049657143,Copper,/10,2.00E-03,KUE4_10,S. acidaminiphila
F3,0.386,0.050114286,Copper,/10,2.00E-03,KUE4_10,S. acidaminiphila
G1,0.226,0.038514286,Copper,/10,2.00E-03,OP50,E. coli
G2,0.2245,0.037485714,Copper,/10,2.00E-03,OP50,E. coli
G3,0.233,0.038057143,Copper,/10,2.00E-03,OP50,E. coli
H1,0.2005,0.056571429,Copper,/10,2.00E-03,SC,SC
H2,0.221,0.065371429,Copper,/10,2.00E-03,SC,SC
H3,0.2015,0.058571429,Copper,/10,2.00E-03,SC,SC
A4,0.196,0.033942857,Copper,TGT,2.00E-02,LUF4_5,L. rhizovicinus
A5,0.1945,0.032857143,Copper,TGT,2.00E-02,LUF4_5,L. rhizovicinus
A6,0.1995,0.0396,Copper,TGT,2.00E-02,LUF4_5,L. rhizovicinus
B4,0.3255,0.032,Copper,TGT,2.00E-02,KUB5_13,V. paradoxus
B5,0.3115,0.031257143,Copper,TGT,2.00E-02,KUB5_13,V. paradoxus
B6,0.3485,0.084857143,Copper,TGT,2.00E-02,KUB5_13,V. paradoxus
C4,0.5385,0.106171429,Copper,TGT,2.00E-02,NUE1_1,B. muralis
C5,0.5005,0.105714286,Copper,TGT,2.00E-02,NUE1_1,B. muralis
C6,0.54,0.102971429,Copper,TGT,2.00E-02,NUE1_1,B. muralis
D4,0.32,0.0304,Copper,TGT,2.00E-02,NUF1_3,V. paradoxus
D5,0.3335,0.030971429,Copper,TGT,2.00E-02,NUF1_3,V. paradoxus
D6,0.334,0.030457143,Copper,TGT,2.00E-02,NUF1_3,V. paradoxus
E4,0.496,0.1708,Copper,TGT,2.00E-02,KUE4_4,B. muralis
E5,0.4575,0.130171429,Copper,TGT,2.00E-02,KUE4_4,B. muralis
E6,0.527,0.153028571,Copper,TGT,2.00E-02,KUE4_4,B. muralis
F4,0.3825,0.049485714,Copper,TGT,2.00E-02,KUE4_10,S. acidaminiphila
F5,0.36,0.047885714,Copper,TGT,2.00E-02,KUE4_10,S. acidaminiphila
F6,0.359,0.048057143,Copper,TGT,2.00E-02,KUE4_10,S. acidaminiphila
G4,0.2295,0.036971429,Copper,TGT,2.00E-02,OP50,E. coli
G5,0.227,0.036514286,Copper,TGT,2.00E-02,OP50,E. coli
G6,0.227,0.0356,Copper,TGT,2.00E-02,OP50,E. coli
H4,0.189,0.050285714,Copper,TGT,2.00E-02,SC,SC
H5,0.1885,0.049942857,Copper,TGT,2.00E-02,SC,SC
H6,0.1915,0.051885714,Copper,TGT,2.00E-02,SC,SC
A7,0.1795,0.034857143,Metaldehyde,*10,2.00E-05,LUF4_5,L. rhizovicinus
A8,0.1835,0.036571429,Metaldehyde,*10,2.00E-05,LUF4_5,L. rhizovicinus
A9,0.1785,0.030342857,Metaldehyde,*10,2.00E-05,LUF4_5,L. rhizovicinus
B7,0.318,0.030171429,Metaldehyde,*10,2.00E-05,KUB5_13,V. paradoxus
B8,0.3255,0.028171429,Metaldehyde,*10,2.00E-05,KUB5_13,V. paradoxus
B9,0.327,0.034285714,Metaldehyde,*10,2.00E-05,KUB5_13,V. paradoxus
C7,0.5165,0.104742857,Metaldehyde,*10,2.00E-05,NUE1_1,B. muralis
