well,max.running.average,max.slopes,stressor,relative concentration,actual concentration (mg/ml),bacteria,Species
C8,0.5385,0.099942857,Metaldehyde,*10,2.00E-05,NUE1_1,B. muralis
C9,0.545,0.097885714,Metaldehyde,*10,2.00E-05,NUE1_1,B. muralis
D7,0.4,0.038571429,Metaldehyde,*10,2.00E-05,NUF1_3,V. paradoxus
D8,0.411,0.037885714,Metaldehyde,*10,2.00E-05,NUF1_3,V. paradoxus
D9,0.399,0.036571429,Metaldehyde,*10,2.00E-05,NUF1_3,V. paradoxus
E7,0.4325,0.108971429,Metaldehyde,*10,2.00E-05,KUE4_4,B. muralis
E8,0.525,0.150628571,Metaldehyde,*10,2.00E-05,KUE4_4,B. muralis
E9,0.5105,0.140285714,Metaldehyde,*10,2.00E-05,KUE4_4,B. muralis
F7,0.358,0.048857143,Metaldehyde,*10,2.00E-05,KUE4_10,S. acidaminiphila
F8,0.3515,0.048285714,Metaldehyde,*10,2.00E-05,KUE4_10,S. acidaminiphila
F9,0.346,0.047714286,Metaldehyde,*10,2.00E-05,KUE4_10,S. acidaminiphila
G7,0.222,0.033828571,Metaldehyde,*10,2.00E-05,OP50,E. coli
G8,0.2265,0.035085714,Metaldehyde,*10,2.00E-05,OP50,E. coli
G9,0.225,0.0356,Metaldehyde,*10,2.00E-05,OP50,E. coli
H7,0.194,0.055942857,Metaldehyde,*10,2.00E-05,SC,SC
H8,0.178,0.048742857,Metaldehyde,*10,2.00E-05,SC,SC
H9,0.1855,0.051028571,Metaldehyde,*10,2.00E-05,SC,SC
A10,0.1045,0.007085714,Metaldehyde,*100,2.00E-04,LUF4_5,L. rhizovicinus
A11,0.098,0.007142857,Metaldehyde,*100,2.00E-04,LUF4_5,L. rhizovicinus
A12,0.0845,0.006571429,Metaldehyde,*100,2.00E-04,LUF4_5,L. rhizovicinus
B10,0.1295,0.020514286,Metaldehyde,*100,2.00E-04,KUB5_13,V. paradoxus
B11,0.115,0.016685714,Metaldehyde,*100,2.00E-04,KUB5_13,V. paradoxus
B12,0.0665,0.007142857,Metaldehyde,*100,2.00E-04,KUB5_13,V. paradoxus
C10,0.1435,0.021942857,Metaldehyde,*100,2.00E-04,NUE1_1,B. muralis
C11,0.148,0.029142857,Metaldehyde,*100,2.00E-04,NUE1_1,B. muralis
C12,0.09,0.012514286,Metaldehyde,*100,2.00E-04,NUE1_1,B. muralis
D10,0.062,0.003085714,Metaldehyde,*100,2.00E-04,NUF1_3,V. paradoxus
D11,0.057,0.0016,Metaldehyde,*100,2.00E-04,NUF1_3,V. paradoxus
D12,0.051,0.000914286,Metaldehyde,*100,2.00E-04,NUF1_3,V. paradoxus
E10,0.0925,0.024457143,Metaldehyde,*100,2.00E-04,KUE4_4,B. muralis
E11,0.0815,0.009657143,Metaldehyde,*100,2.00E-04,KUE4_4,B. muralis
E12,0.1275,0.010742857,Metaldehyde,*100,2.00E-04,KUE4_4,B. muralis
F10,0.059,0.002971429,Metaldehyde,*100,2.00E-04,KUE4_10,S. acidaminiphila
F11,0.063,0.003428571,Metaldehyde,*100,2.00E-04,KUE4_10,S. acidaminiphila
F12,0.052,0.001485714,Metaldehyde,*100,2.00E-04,KUE4_10,S. acidaminiphila
G10,0.176,0.0164,Metaldehyde,*100,2.00E-04,OP50,E. coli
G11,0.1745,0.0168,Metaldehyde,*100,2.00E-04,OP50,E. coli
G12,0.097,0.006742857,Metaldehyde,*100,2.00E-04,OP50,E. coli
H10,0.106,0.024285714,Metaldehyde,*100,2.00E-04,SC,SC
H11,0.102,0.031314286,Metaldehyde,*100,2.00E-04,SC,SC
H12,0.1135,0.1344,Metaldehyde,*100,2.00E-04,SC,SC
A1,0.18,0.028342857,Metaldehyde,/10,2.00E-07,LUF4_5,L. rhizovicinus
A2,0.2355,0.044057143,Metaldehyde,/10,2.00E-07,LUF4_5,L. rhizovicinus
A3,0.2035,0.041371429,Metaldehyde,/10,2.00E-07,LUF4_5,L. rhizovicinus
B1,0.23,0.028342857,Metaldehyde,/10,2.00E-07,KUB5_13,V. paradoxus
B2,0.325,0.030628571,Metaldehyde,/10,2.00E-07,KUB5_13,V. paradoxus
B3,0.3225,0.029942857,Metaldehyde,/10,2.00E-07,KUB5_13,V. paradoxus
C1,0.254,0.034342857,Metaldehyde,/10,2.00E-07,NUE1_1,B. muralis
C2,0.5045,0.122571429,Metaldehyde,/10,2.00E-07,NUE1_1,B. muralis
C3,0.5025,0.125828571,Metaldehyde,/10,2.00E-07,NUE1_1,B. muralis
D1,0.2435,0.024171429,Metaldehyde,/10,2.00E-07,NUF1_3,V. paradoxus
D2,0.344,0.032057143,Metaldehyde,/10,2.00E-07,NUF1_3,V. paradoxus
D3,0.36,0.032514286,Metaldehyde,/10,2.00E-07,NUF1_3,V. paradoxus
E1,0.1645,0.051142857,Metaldehyde,/10,2.00E-07,KUE4_4,B. muralis
E2,0.439,0.1544,Metaldehyde,/10,2.00E-07,KUE4_4,B. muralis
E3,0.529,0.152114286,Metaldehyde,/10,2.00E-07,KUE4_4,B. muralis
F1,0.282,0.042914286,Metaldehyde,/10,2.00E-07,KUE4_10,S. acidaminiphila
F2,0.3485,0.049371429,Metaldehyde,/10,2.00E-07,KUE4_10,S. acidaminiphila
F3,0.35,0.047771429,Metaldehyde,/10,2.00E-07,KUE4_10,S. acidaminiphila
G1,0.2075,0.039314286,Metaldehyde,/10,2.00E-07,OP50,E. coli
G2,0.2245,0.038914286,Metaldehyde,/10,2.00E-07,OP50,E. coli
G3,0.231,0.0356,Metaldehyde,/10,2.00E-07,OP50,E. coli
H1,0.179,0.044971429,Metaldehyde,/10,2.00E-07,SC,SC
H2,0.2055,0.057885714,Metaldehyde,/10,2.00E-07,SC,SC
H3,0.19,0.052342857,Metaldehyde,/10,2.00E-07,SC,SC
A4,0.2025,0.0396,Metaldehyde,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A5,0.1975,0.04,Metaldehyde,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A6,0.208,0.041828571,Metaldehyde,TGT,2.00E-06,LUF4_5,L. rhizovicinus
B4,0.3235,0.029942857,Metaldehyde,TGT,2.00E-06,KUB5_13,V. paradoxus
B5,0.313,0.0288,Metaldehyde,TGT,2.00E-06,KUB5_13,V. paradoxus
B6,0.3265,0.030742857,Metaldehyde,TGT,2.00E-06,KUB5_13,V. paradoxus
C4,0.491,0.128457143,Metaldehyde,TGT,2.00E-06,NUE1_1,B. muralis
C5,0.5175,0.118114286,Metaldehyde,TGT,2.00E-06,NUE1_1,B. muralis
C6,0.546,0.1248,Metaldehyde,TGT,2.00E-06,NUE1_1,B. muralis
D4,0.362,0.033714286,Metaldehyde,TGT,2.00E-06,NUF1_3,V. paradoxus
D5,0.364,0.035028571,Metaldehyde,TGT,2.00E-06,NUF1_3,V. paradoxus
D6,0.368,0.035085714,Metaldehyde,TGT,2.00E-06,NUF1_3,V. paradoxus
E4,0.427,0.115085714,Metaldehyde,TGT,2.00E-06,KUE4_4,B. muralis
E5,0.459,0.155714286,Metaldehyde,TGT,2.00E-06,KUE4_4,B. muralis
E6,0.4865,0.154342857,Metaldehyde,TGT,2.00E-06,KUE4_4,B. muralis
F4,0.3645,0.0496,Metaldehyde,TGT,2.00E-06,KUE4_10,S. acidaminiphila
F5,0.3565,0.048628571,Metaldehyde,TGT,2.00E-06,KUE4_10,S. acidaminiphila
F6,0.3575,0.048628571,Metaldehyde,TGT,2.00E-06,KUE4_10,S. acidaminiphila
G4,0.223,0.035657143,Metaldehyde,TGT,2.00E-06,OP50,E. coli
G5,0.2235,0.035485714,Metaldehyde,TGT,2.00E-06,OP50,E. coli
G6,0.2265,0.036457143,Metaldehyde,TGT,2.00E-06,OP50,E. coli
H4,0.1875,0.052857143,Metaldehyde,TGT,2.00E-06,SC,SC
H5,0.1825,0.051771429,Metaldehyde,TGT,2.00E-06,SC,SC
H6,0.1865,0.053771429,Metaldehyde,TGT,2.00E-06,SC,SC
A4,0.212,0.040628571,Nickel,TGT,2.00E-03,LUF4_5,L. rhizovicinus
A5,0.2055,0.041771429,Nickel,TGT,2.00E-03,LUF4_5,L. rhizovicinus
A6,0.2015,0.041028571,Nickel,TGT,2.00E-03,LUF4_5,L. rhizovicinus
B4,0.3105,0.0256,Nickel,TGT,2.00E-03,KUB5_13,V. paradoxus
B5,0.305,0.027028571,Nickel,TGT,2.00E-03,KUB5_13,V. paradoxus
B6,0.317,0.028342857,Nickel,TGT,2.00E-03,KUB5_13,V. paradoxus
C4,0.539,0.111428571,Nickel,TGT,2.00E-03,NUE1_1,B. muralis
C5,0.518,0.096285714,Nickel,TGT,2.00E-03,NUE1_1,B. muralis
C6,0.514,0.107657143,Nickel,TGT,2.00E-03,NUE1_1,B. muralis
D4,0.334,0.032914286,Nickel,TGT,2.00E-03,NUF1_3,V. paradoxus
D5,0.334,0.032171429,Nickel,TGT,2.00E-03,NUF1_3,V. paradoxus
D6,0.3305,0.031885714,Nickel,TGT,2.00E-03,NUF1_3,V. paradoxus
E4,0.5145,0.188114286,Nickel,TGT,2.00E-03,KUE4_4,B. muralis
E5,0.4695,0.177885714,Nickel,TGT,2.00E-03,KUE4_4,B. muralis
E6,0.4865,0.145714286,Nickel,TGT,2.00E-03,KUE4_4,B. muralis
F4,0.3665,0.047942857,Nickel,TGT,2.00E-03,KUE4_10,S. acidaminiphila
F5,0.352,0.047428571,Nickel,TGT,2.00E-03,KUE4_10,S. acidaminiphila
F6,0.2945,0.0416,Nickel,TGT,2.00E-03,KUE4_10,S. acidaminiphila
G4,0.223,0.033428571,Nickel,TGT,2.00E-03,OP50,E. coli
G5,0.219,0.032514286,Nickel,TGT,2.00E-03,OP50,E. coli
G6,0.226,0.034057143,Nickel,TGT,2.00E-03,OP50,E. coli
H4,0.181,0.046228571,Nickel,TGT,2.00E-03,SC,SC
H5,0.158,0.035828571,Nickel,TGT,2.00E-03,SC,SC
H6,0.181,0.039657143,Nickel,TGT,2.00E-03,SC,SC
A1,0.1915,0.031485714,Nickel,/10,2.00E-04,LUF4_5,L. rhizovicinus
A2,0.2015,0.039314286,Nickel,/10,2.00E-04,LUF4_5,L. rhizovicinus
A3,0.214,0.042457143,Nickel,/10,2.00E-04,LUF4_5,L. rhizovicinus
B1,0.236,0.0288,Nickel,/10,2.00E-04,KUB5_13,V. paradoxus
B2,0.291,0.027828571,Nickel,/10,2.00E-04,KUB5_13,V. paradoxus
B3,0.2995,0.026057143,Nickel,/10,2.00E-04,KUB5_13,V. paradoxus
C1,0.4355,0.109828571,Nickel,/10,2.00E-04,NUE1_1,B. muralis
C2,0.52,0.115771429,Nickel,/10,2.00E-04,NUE1_1,B. muralis
C3,0.525,0.113542857,Nickel,/10,2.00E-04,NUE1_1,B. muralis
D1,0.26,0.0248,Nickel,/10,2.00E-04,NUF1_3,V. paradoxus
D2,0.329,0.031485714,Nickel,/10,2.00E-04,NUF1_3,V. paradoxus
D3,0.329,0.032,Nickel,/10,2.00E-04,NUF1_3,V. paradoxus
E1,0.3015,0.0908,Nickel,/10,2.00E-04,KUE4_4,B. muralis
E2,0.384,0.101942857,Nickel,/10,2.00E-04,KUE4_4,B. muralis
E3,0.479,0.158457143,Nickel,/10,2.00E-04,KUE4_4,B. muralis
F1,0.2895,0.042685714,Nickel,/10,2.00E-04,KUE4_10,S. acidaminiphila
F2,0.3385,0.047085714,Nickel,/10,2.00E-04,KUE4_10,S. acidaminiphila
F3,0.348,0.046571429,Nickel,/10,2.00E-04,KUE4_10,S. acidaminiphila
G1,0.2015,0.034228571,Nickel,/10,2.00E-04,OP50,E. coli
G2,0.219,0.033542857,Nickel,/10,2.00E-04,OP50,E. coli
G3,0.228,0.0328,Nickel,/10,2.00E-04,OP50,E. coli
H1,0.1795,0.036342857,Nickel,/10,2.00E-04,SC,SC
H2,0.1905,0.038057143,Nickel,/10,2.00E-04,SC,SC
H3,0.1855,0.038628571,Nickel,/10,2.00E-04,SC,SC
A10,0.188,0.037142857,Nickel,*100,2.00E-01,LUF4_5,L. rhizovicinus
A11,0.183,0.034914286,Nickel,*100,2.00E-01,LUF4_5,L. rhizovicinus
A12,0.1605,0.024628571,Nickel,*100,2.00E-01,LUF4_5,L. rhizovicinus
B10,0.314,0.025714286,Nickel,*100,2.00E-01,KUB5_13,V. paradoxus
B11,0.29,0.029371429,Nickel,*100,2.00E-01,KUB5_13,V. paradoxus
B12,0.221,0.028342857,Nickel,*100,2.00E-01,KUB5_13,V. paradoxus
C10,0.498,0.1004,Nickel,*100,2.00E-01,NUE1_1,B. muralis
C11,0.5045,0.089371429,Nickel,*100,2.00E-01,NUE1_1,B. muralis
C12,0.425,0.077828571,Nickel,*100,2.00E-01,NUE1_1,B. muralis
D10,0.364,0.036742857,Nickel,*100,2.00E-01,NUF1_3,V. paradoxus
D11,0.364,0.0364,Nickel,*100,2.00E-01,NUF1_3,V. paradoxus
D12,0.271,0.025942857,Nickel,*100,2.00E-01,NUF1_3,V. paradoxus
E10,0.482,0.175428571,Nickel,*100,2.00E-01,KUE4_4,B. muralis
E11,0.418,0.174628571,Nickel,*100,2.00E-01,KUE4_4,B. muralis
E12,0.3015,0.075142857,Nickel,*100,2.00E-01,KUE4_4,B. muralis
F10,0.402,0.049771429,Nickel,*100,2.00E-01,KUE4_10,S. acidaminiphila
F11,0.4035,0.051428571,Nickel,*100,2.00E-01,KUE4_10,S. acidaminiphila
F12,0.3705,0.050971429,Nickel,*100,2.00E-01,KUE4_10,S. acidaminiphila
G10,0.224,0.032285714,Nickel,*100,2.00E-01,OP50,E. coli
G11,0.2195,0.0324,Nickel,*100,2.00E-01,OP50,E. coli
G12,0.1865,0.028971429,Nickel,*100,2.00E-01,OP50,E. coli
H10,0.18,0.039942857,Nickel,*100,2.00E-01,SC,SC
H11,0.1705,0.039371429,Nickel,*100,2.00E-01,SC,SC
H12,0.1825,0.037371429,Nickel,*100,2.00E-01,SC,SC
A7,0.1855,0.036114286,Nickel,*10,2.00E-02,LUF4_5,L. rhizovicinus
A8,0.183,0.036685714,Nickel,*10,2.00E-02,LUF4_5,L. rhizovicinus
A9,0.1855,0.034971429,Nickel,*10,2.00E-02,LUF4_5,L. rhizovicinus
B7,0.313,0.027428571,Nickel,*10,2.00E-02,KUB5_13,V. paradoxus
B8,0.3075,0.0292,Nickel,*10,2.00E-02,KUB5_13,V. paradoxus
B9,0.3155,0.025942857,Nickel,*10,2.00E-02,KUB5_13,V. paradoxus
C7,0.51,0.093485714,Nickel,*10,2.00E-02,NUE1_1,B. muralis
C8,0.496,0.096571429,Nickel,*10,2.00E-02,NUE1_1,B. muralis
C9,0.492,0.095142857,Nickel,*10,2.00E-02,NUE1_1,B. muralis
D7,0.321,0.031371429,Nickel,*10,2.00E-02,NUF1_3,V. paradoxus
D8,0.3235,0.032171429,Nickel,*10,2.00E-02,NUF1_3,V. paradoxus
D9,0.3155,0.030514286,Nickel,*10,2.00E-02,NUF1_3,V. paradoxus
E7,0.523,0.175257143,Nickel,*10,2.00E-02,KUE4_4,B. muralis
E8,0.496,0.1672,Nickel,*10,2.00E-02,KUE4_4,B. muralis
E9,0.5365,0.201028571,Nickel,*10,2.00E-02,KUE4_4,B. muralis
F7,0.351,0.047028571,Nickel,*10,2.00E-02,KUE4_10,S. acidaminiphila
F8,0.3595,0.047885714,Nickel,*10,2.00E-02,KUE4_10,S. acidaminiphila
F9,0.354,0.047314286,Nickel,*10,2.00E-02,KUE4_10,S. acidaminiphila
G7,0.222,0.033485714,Nickel,*10,2.00E-02,OP50,E. coli
G8,0.226,0.033485714,Nickel,*10,2.00E-02,OP50,E. coli
G9,0.224,0.032571429,Nickel,*10,2.00E-02,OP50,E. coli
H7,0.164,0.040114286,Nickel,*10,2.00E-02,SC,SC
H8,0.163,0.041885714,Nickel,*10,2.00E-02,SC,SC
H9,0.1695,0.0376,Nickel,*10,2.00E-02,SC,SC
A1,0.047,0.001428571,Azostrobin,/10,10,LUF4_5,L. rhizovicinus
A2,0.047,0.000628571,Azostrobin,/10,10,LUF4_5,L. rhizovicinus
A3,0.045,0.000914286,Azostrobin,/10,10,LUF4_5,L. rhizovicinus
B1,0.046,0.000285714,Azostrobin,/10,10,KUB5_13,V. paradoxus
B2,0.045,0.000285714,Azostrobin,/10,10,KUB5_13,V. paradoxus
B3,0.045,0.000685714,Azostrobin,/10,10,KUB5_13,V. paradoxus
C1,0.046,0.001142857,Azostrobin,/10,10,NUE1_1,B. muralis
C2,0.048,0.002,Azostrobin,/10,10,NUE1_1,B. muralis
C3,0.045,0.002114286,Azostrobin,/10,10,NUE1_1,B. muralis
D1,0.044,0.000285714,Azostrobin,/10,10,NUF1_3,V. paradoxus
D2,0.045,0.000514286,Azostrobin,/10,10,NUF1_3,V. paradoxus
D3,0.046,0.000514286,Azostrobin,/10,10,NUF1_3,V. paradoxus
E1,0.046,0.000514286,Azostrobin,/10,10,KUE4_4,B. muralis
E2,0.044,0.000514286,Azostrobin,/10,10,KUE4_4,B. muralis
E3,0.048,0.0008,Azostrobin,/10,10,KUE4_4,B. muralis
F1,0.045,0.000514286,Azostrobin,/10,10,KUE4_10,S. acidaminiphila
F2,0.045,0.000285714,Azostrobin,/10,10,KUE4_10,S. acidaminiphila
F3,0.048,0.0004,Azostrobin,/10,10,KUE4_10,S. acidaminiphila
G1,0.047,0.002228571,Azostrobin,/10,10,OP50,E. coli
G2,0.046,0.002228571,Azostrobin,/10,10,OP50,E. coli
G3,0.048,0.0024,Azostrobin,/10,10,OP50,E. coli
H1,0.048,0.001885714,Azostrobin,/10,10,SC,SC
H2,0.048,0.002685714,Azostrobin,/10,10,SC,SC
H3,0.0475,0.002514286,Azostrobin,/10,10,SC,SC
A1,0.171,0.027428571,Tebuconazole,/10,10,LUF4_5,L. rhizovicinus
A2,0.2165,0.042114286,Tebuconazole,/10,10,LUF4_5,L. rhizovicinus
A3,0.251,0.050171429,Tebuconazole,/10,10,LUF4_5,L. rhizovicinus
B1,0.1675,0.018171429,Tebuconazole,/10,10,KUB5_13,V. paradoxus
B2,0.2845,0.029371429,Tebuconazole,/10,10,KUB5_13,V. paradoxus
B3,0.3,0.033828571,Tebuconazole,/10,10,KUB5_13,V. paradoxus
C1,0.1175,0.023714286,Tebuconazole,/10,10,NUE1_1,B. muralis
C2,0.498,0.118628571,Tebuconazole,/10,10,NUE1_1,B. muralis
C3,0.4875,0.112057143,Tebuconazole,/10,10,NUE1_1,B. muralis
D1,0.1935,0.0228,Tebuconazole,/10,10,NUF1_3,V. paradoxus
D2,0.2835,0.026971429,Tebuconazole,/10,10,NUF1_3,V. paradoxus
D3,0.3085,0.028342857,Tebuconazole,/10,10,NUF1_3,V. paradoxus
E1,0.1125,0.0316,Tebuconazole,/10,10,KUE4_4,B. muralis
E2,0.425,0.1124,Tebuconazole,/10,10,KUE4_4,B. muralis
E3,0.4095,0.109885714,Tebuconazole,/10,10,KUE4_4,B. muralis
F1,0.046,0.000857143,Tebuconazole,/10,10,KUE4_10,S. acidaminiphila
F2,0.047,0.000857143,Tebuconazole,/10,10,KUE4_10,S. acidaminiphila
F3,0.047,0.001028571,Tebuconazole,/10,10,KUE4_10,S. acidaminiphila
G1,0.1775,0.039314286,Tebuconazole,/10,10,OP50,E. coli
G2,0.2025,0.035828571,Tebuconazole,/10,10,OP50,E. coli
G3,0.2225,0.036228571,Tebuconazole,/10,10,OP50,E. coli
H1,0.168,0.038914286,Tebuconazole,/10,10,SC,SC
H2,0.179,0.045028571,Tebuconazole,/10,10,SC,SC
H3,0.1665,0.039542857,Tebuconazole,/10,10,SC,SC
A4,0.05,0.001428571,Azostrobin,TGT,100,LUF4_5,L. rhizovicinus
A5,0.0465,0.000571429,Azostrobin,TGT,100,LUF4_5,L. rhizovicinus
A6,0.046,0.000571429,Azostrobin,TGT,100,LUF4_5,L. rhizovicinus
B4,0.046,0.000285714,Azostrobin,TGT,100,KUB5_13,V. paradoxus
B5,0.045,0.000342857,Azostrobin,TGT,100,KUB5_13,V. paradoxus
B6,0.046,0.000514286,Azostrobin,TGT,100,KUB5_13,V. paradoxus
C4,0.045,0.002114286,Azostrobin,TGT,100,NUE1_1,B. muralis
C5,0.049,0.002114286,Azostrobin,TGT,100,NUE1_1,B. muralis
C6,0.048,0.001942857,Azostrobin,TGT,100,NUE1_1,B. muralis
D4,0.046,0.000285714,Azostrobin,TGT,100,NUF1_3,V. paradoxus
D5,0.045,0.000285714,Azostrobin,TGT,100,NUF1_3,V. paradoxus
D6,0.047,0.0004,Azostrobin,TGT,100,NUF1_3,V. paradoxus
E4,0.049,0.000285714,Azostrobin,TGT,100,KUE4_4,B. muralis
E5,0.046,0.000457143,Azostrobin,TGT,100,KUE4_4,B. muralis
E6,0.047,0.000342857,Azostrobin,TGT,100,KUE4_4,B. muralis
F4,0.0475,4.00E-04,Azostrobin,TGT,100,KUE4_10,S. acidaminiphila
F5,0.048,0.000457143,Azostrobin,TGT,100,KUE4_10,S. acidaminiphila
F6,0.045,0.000342857,Azostrobin,TGT,100,KUE4_10,S. acidaminiphila
G4,0.046,0.002228571,Azostrobin,TGT,100,OP50,E. coli
G5,0.045,0.002457143,Azostrobin,TGT,100,OP50,E. coli
G6,0.045,0.002285714,Azostrobin,TGT,100,OP50,E. coli
H4,0.05,0.0028,Azostrobin,TGT,100,SC,SC
H5,0.045,0.002914286,Azostrobin,TGT,100,SC,SC
H6,0.045,0.002857143,Azostrobin,TGT,100,SC,SC
A4,0.2525,0.047314286,Tebuconazole,TGT,100,LUF4_5,L. rhizovicinus
A5,0.2125,0.045314286,Tebuconazole,TGT,100,LUF4_5,L. rhizovicinus
A6,0.212,0.045942857,Tebuconazole,TGT,100,LUF4_5,L. rhizovicinus
B4,0.315,0.030685714,Tebuconazole,TGT,100,KUB5_13,V. paradoxus
B5,0.3165,0.028571429,Tebuconazole,TGT,100,KUB5_13,V. paradoxus
B6,0.3285,0.030628571,Tebuconazole,TGT,100,KUB5_13,V. paradoxus
C4,0.4765,0.106457143,Tebuconazole,TGT,100,NUE1_1,B. muralis
C5,0.4775,0.099028571,Tebuconazole,TGT,100,NUE1_1,B. muralis
C6,0.483,0.102228571,Tebuconazole,TGT,100,NUE1_1,B. muralis
D4,0.312,0.028171429,Tebuconazole,TGT,100,NUF1_3,V. paradoxus
D5,0.319,0.030571429,Tebuconazole,TGT,100,NUF1_3,V. paradoxus
D6,0.3265,0.030685714,Tebuconazole,TGT,100,NUF1_3,V. paradoxus
E4,0.383,0.1444,Tebuconazole,TGT,100,KUE4_4,B. muralis
E5,0.4615,0.115371429,Tebuconazole,TGT,100,KUE4_4,B. muralis
E6,0.468,0.141428571,Tebuconazole,TGT,100,KUE4_4,B. muralis
F4,0.048,0.000857143,Tebuconazole,TGT,100,KUE4_10,S. acidaminiphila
F5,0.049,0.0012,Tebuconazole,TGT,100,KUE4_10,S. acidaminiphila
F6,0.045,0.001314286,Tebuconazole,TGT,100,KUE4_10,S. acidaminiphila
G4,0.216,0.034228571,Tebuconazole,TGT,100,OP50,E. coli
G5,0.2165,0.037942857,Tebuconazole,TGT,100,OP50,E. coli
G6,0.218,0.033485714,Tebuconazole,TGT,100,OP50,E. coli
H4,0.1785,0.049942857,Tebuconazole,TGT,100,SC,SC
H5,0.1725,0.045314286,Tebuconazole,TGT,100,SC,SC
H6,0.166,0.042514286,Tebuconazole,TGT,100,SC,SC
